sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mesano_cnm1,mesano_sent,casos_novos_2026,julgados_2026,prim_sent2026,suspensos_2026,dessobrestados_2026,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Ago 2017",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Dez 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Dez 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Jul 2022",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Jun 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Mai 2022",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","NA NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Out 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Jan 2016",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Abr 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Ago 2025",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Dez 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Jan 2025",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Jul 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Nov 2019",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Out 2025",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Set 2025",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Abr 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Ago 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Ago 2022",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Dez 2014",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Fev 2024",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Jul 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Jul 2025",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Mai 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Mar 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Set 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","Dez 2025","Set 2024",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Ago 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Ago 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Ago 2024",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Ago 2025",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Dez 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Dez 2022",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Fev 2020",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Jan 2024",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Jan 2025",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Jul 2015",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Jul 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Jul 2024",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Out 2020",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","Dez 2025","Set 2015",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Ago 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Ago 2024",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Jul 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Jul 2025",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Jun 2015",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Jun 2022",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Mar 2016",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Mar 2020",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Mar 2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Out 2020",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","Dez 2025","Set 2021",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,142.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,142.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14574,"8ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA CENTRO","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14582,"16ª ZONA ELEITORAL DO DISTRITO FEDERAL - CEILÂNDIA NORTE","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TRE-DF","Conhecimento não criminal","Justiça Eleitoral","G1","DF","CEILANDIA",14586,"20ª ZONA ELEITORAL DO DISTRITO FEDERAL - P SUL/CEILÂNDIA","NA","NA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
